Site,Product_Group,Truck_Appointment_Date,BL_weight,Freight_Amount
AMAZ,SW,2024-08-02,291355.0,15489.83
AMAZ,SW,2024-08-05,202052.0,13192.41
AMAZ,SW,2024-08-06,138232.0,13779.84
AMAZ,SW,2024-08-07,148297.0,10650.1
AMAZ,SW,2024-08-08,175586.0,5856.23
AMAZ,SW,2024-08-09,175582.0,7157.96
AMAZ,SW,2024-08-12,259571.0,11092.93
AMAZ,SW,2024-08-13,183433.0,10473.5
AMAZ,SW,2024-08-14,186498.0,7444.56
AMAZ,SW,2024-08-15,83190.0,2164.85
AMAZ,SW,2024-08-16,206419.0,6343.5199999999995
AMAZ,SW,2024-08-19,61572.0,3367.04
AMAZ,SW,2024-08-20,45707.0,1893.04
AMAZ,SW,2024-08-21,259831.0,7758.79
AMAZ,SW,2024-08-22,103205.0,5169.360000000001
AMAZ,SW,2024-08-23,29926.0,2511.16
AMAZ,SW,2024-08-24,28680.0,0.0
AMAZ,SW,2024-08-26,180120.0,6365.52
AMAZ,SW,2024-08-27,193407.0,4895.66
AMAZ,SW,2024-08-28,124925.0,8218.24
AMAZ,SW,2024-08-29,161809.0,6858.66
AMAZ,SW,2024-08-30,171632.0,9407.43
AMAZ,SW,2024-09-03,201268.0,11452.119999999999
AMAZ,SW,2024-09-04,159618.0,5412.639999999999
AMAZ,SW,2024-09-05,209090.0,13418.24
AMAZ,SW,2024-09-06,187841.0,10590.3
AMAZ,SW,2024-09-09,160171.0,14080.630000000001
AMAZ,SW,2024-09-10,205563.0,17027.27
AMAZ,SW,2024-09-11,65767.0,2824.91
AMAZ,SW,2024-09-12,171491.0,10022.07
AMAZ,SW,2024-09-13,154953.0,11545.6
AMAZ,SW,2024-09-16,122853.0,4263.75
AMAZ,SW,2024-09-17,151863.0,8022.07
AMAZ,SW,2024-09-18,139848.0,9703.75
AMAZ,SW,2024-09-19,105581.0,8700.35
AMAZ,SW,2024-09-20,208403.0,12900.28
AMAZ,SW,2024-09-23,183299.0,8637.37
AMAZ,SW,2024-09-24,118867.0,3567.08
AMAZ,SW,2024-09-25,78980.0,4513.44
AMAZ,SW,2024-09-26,100958.0,2798.8999999999996
AMAZ,SW,2024-09-27,146625.0,11681.06
AMAZ,SW,2024-09-28,24530.0,1890.0
AMAZ,SW,2024-09-30,152739.0,7137.43
AMAZ,SW,2024-10-01,113933.0,8999.97
AMAZ,SW,2024-10-02,192173.0,8024.01
AMAZ,SW,2024-10-03,100675.0,5441.9
AMAZ,SW,2024-10-04,172399.0,9330.29
AMAZ,SW,2024-10-07,175048.0,5966.7
AMAZ,SW,2024-10-08,96621.0,10816.65
AMAZ,SW,2024-10-09,241982.0,7815.64
AMAZ,SW,2024-10-10,155833.0,11550.91
AMAZ,SW,2024-10-11,138914.0,15870.42
AMAZ,SW,2024-10-14,140493.0,11247.77
AMAZ,SW,2024-10-15,125790.0,2938.0
AMAZ,SW,2024-10-16,70024.0,6084.0
AMAZ,SW,2024-10-17,111540.0,5988.9
AMAZ,SW,2024-10-18,136556.0,15828.0
AMAZ,SW,2024-10-21,189248.0,7941.58
